LANG,RECORD #,245abnp,260a,264a,260b,264b,260c,264c,008 Country,SUBJECT,AUTHOR,ADDITIONAL AUTHOR,LIBRARY HAS
eng,b127844752,Lila & Ecco's do-it-yourself comics club /,,Toronto :;,,"Kids Can Press,;",,"[2010];""©2010""",onc,"Comic books, strips, etc. Technique Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2008100148;""Educational comic books, strips, etc."";""Canadian comic books, strips, etc."";""Educational comics. lcgft http://id.loc.gov/authorities/genreForms/gf2014026305""","Dawson, Willow. http://id.loc.gov/authorities/names/no2010143106",,
eng,b127873351,Spain & Morocco /,,"Greenwich, NS :;",,"Conundrum Press,;",,"[2014];""©2014""",nsc,"Travel Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85137149;""Alternative comic books, strips, etc."";""Canadian comic books, strips, etc.""","Fellows, Alex, 1979- author, illustrator.",,
eng,b12789357x,Valeria /,,"[Terrace], British Columbia :;",,"CCB Publishing,;",,"[2011];""©2011""",bcc,"Bondage (Sexual behavior) Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85015498;""Bondage Bandes dessinées."";""Bondage (Sexual behavior) fast (OCoLC)fst00835873"";""Comic books, strips, etc. fast (OCoLC)fst01423722""","Tarsis, Brian, author, illustrator.",,
eng,b127894743,Seth's dominion /,,"Montréal, Québec :",,"Drawn & Quarterly,",,2016,quc,"Seth, 1962- http://id.loc.gov/authorities/names/no98074117;""Cartoonists Canada Biography. http://id.loc.gov/authorities/subjects/sh85020532"";""Canadian comic books, strips, etc.""","Seth, 1962- author. http://id.loc.gov/authorities/names/no98074117","Chamberland, Luc (Animator), film director. http://id.loc.gov/authorities/names/no2017025283",
eng,b127976358,Anti-gone /,,"[Toronto, Canada] :",,"Koyama Press,",,September 2017.,onc,"Alternative comic books, strips, etc.;""Canadian comic books, strips, etc.""","Willumsen, Connor. http://id.loc.gov/authorities/names/no2014025039",,
eng,b128002876,You & a bike & a road /,,"[Toronto, Ontario] :",,"Koyama Press,",,2017,onc,"Davis, Eleanor, 1983- Travel United States. http://id.loc.gov/authorities/names/n2008073361;""Bicycle touring United States Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2009116849"";""Bicycle touring Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85013909"";""Autobiographical comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2011002678""","Davis, Eleanor, 1983- http://id.loc.gov/authorities/names/n2008073361",,
eng,b128029742,Sex fantasy /,,"[Toronto, Ontario] :",,"Koyama Press,",,2017,onc,"Interpersonal relations Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85067484;""Sexual fantasies Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85120734"";""Alternative comic books, strips, etc.""","Foster-Dimino, Sophia.",,
eng,b12803256x,Dream life : a late coming of age /,,[Montreal] :,,"[Spilt Ink],",,-2014,quc,"Alternative comic books, strips, etc.;""Canadian comic books, strips, etc.""","Sam, Salgood. http://id.loc.gov/authorities/names/n2001023949",,
eng,b128032571,The hospital suite /,,"[Montréal, Quebe?bec] :;",,"Drawn and Quarterly,;",,"2014.;""©2014""",quc,"Porcellino, John Health Comic books, strips, etc. http://id.loc.gov/authorities/names/no2003021669;""Hospital care Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85062238"";""Cartoonists United States Biography. http://id.loc.gov/authorities/subjects/sh2008100151"";""Cartoonists United States Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh95002484"";""Autobiographical comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2011002678"";""Intestinal Neoplasms psychology. (DNLM)D007414Q000523"";""Intestinal Neoplasms surgery. (DNLM)D007414Q000601"";""Comorbidity. (DNLM)D015897"";""Anxiety Disorders etiology. (DNLM)D001008Q000209"";""Inpatients psychology. (DNLM)D007297Q000523"";""Attitude to Health. (DNLM)D001294""","Porcellino, John, artist, author. http://id.loc.gov/authorities/names/no2003021669",,
eng,b128035705,From Lone Mountain : King-Cat comics and stories 2003-2007 /,,Montréal :;,,"Drawn and Quarterly,;",,"2018.;""©2018""",quc,"Autobiographical comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2011002678","Porcellino, John, author, illustrator. http://id.loc.gov/authorities/names/no2003021669",,
eng,b128207231,Poppies of Iraq /,,"[Montréal, Quebe?bec] :;",,"Drawn & Quarterly,;",,"[2017];""©2017""",quc,"Autobiographical comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2011002678;""Franco-Belgian comic books, strips, etc. Translations into English."";""Iraq Social conditions 20th century Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2004005943"";""Iraq History 1958-1979 Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2002008927""","Findakly, Brigitte. http://id.loc.gov/authorities/names/no2017116692","Trondheim, Lewis. http://id.loc.gov/authorities/names/n2002039374;""Dascher, Helge, 1965- translator. http://id.loc.gov/authorities/names/no2007051738""",
eng,b128255742,Fresh justice. Book 1.,,[Canada] :,,"1up.ca,",,May 2013.,xxc,"Law Canada Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh98001459;""Educational comic books, strips, etc."";""Superhero comic books, strips, etc."";""Canadian comic books, strips, etc."";""Zines. lcgft http://id.loc.gov/authorities/genreForms/gf2014026210""",,,
eng,b128256321,Fully loaded trap. #1 /,,"[Ont., Canada] :;",,"Jeff Mitchell,;",,"Fall/Winter 2014.;""©2014""",onc,"Canadian comic books, strips, etc.;""New wave comic books, strips, etc."";""Zines. lcgft http://id.loc.gov/authorities/genreForms/gf2014026210""","Mitchell, Jeff (Cartoonist), author, artist.",,
eng,b12825659x,The constant smile /,,"[Toronto, Canada] :",,"Adam Kuphos and MJ Alexander,",,[2015],onc,"Fantasy comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh97000542;""Canadian comic books, strips, etc."";""Zines. lcgft http://id.loc.gov/authorities/genreForms/gf2014026210""","Alexander, M. J. (Martha Jane), artist, author.","Kuphos, Adam, author.",
eng,b128263283,"Pocket knife. #2, Winter-Spring 2012-2013.",,"[Toronto, Canada] :;""[Place of manufacture not identified] :""",,"Jessica Lewis,;""[manufacturer not identified],""",,"[2013];""March 2013.""",onc,"Lewis, Jessica (Cartoonist);""New wave comic books, strips, etc."";""Canadian comic books, strips, etc."";""Toronto (Ont.) Quotations, maxims, etc. http://id.loc.gov/authorities/names/n79079328"";""Zines. lcgft http://id.loc.gov/authorities/genreForms/gf2014026210""","Lewis, Jessica (Cartoonist), artist.",,
eng,b128264792,Two-fisted librarians.,,"Vancouver, BC :",,"Matthew Murray,",,2013-2016.,bcc,"Librarians Fiction Periodicals. http://id.loc.gov/authorities/subjects/sh2009129655;""Libraries Fiction Periodicals. http://id.loc.gov/authorities/subjects/sh2009129656"";""Librarians Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85076491"";""Libraries Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85076502"";""Librarians. fast (OCoLC)fst00997301"";""Fiction. fast (OCoLC)fst01423787"";""Zines. fast (OCoLC)fst01919987"";""Zines. lcgft http://id.loc.gov/authorities/genreForms/gf2014026210""",,"Murray, Matthew, 1983- editor, designer.",
eng,b128267756,What. 3 /,,"[Montreal, Quebec, Canada] :;",,"JP Gosselin,;",,"[2013];""©2013""",quc,"Canadian comic books, strips, etc.;""New wave comic books, strips, etc."";""Zines. lcgft http://id.loc.gov/authorities/genreForms/gf2014026210""","Gosselin, J. P., artist, author.",,
